listing_id,listing_name,listing_type,room_type,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,checkin_time,checkout_time,guest_favorite,exact_location,cleaning_fee,extra_guest_fee,single_fee_structure,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue_native,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar_native,ttm_adjusted_revpar_native,ttm_avg_min_nights,ttm_avg_length_of_stay,ttm_reserved_days,ttm_blocked_days,ttm_available_days,amenities_count,center_mark
9219471,Studio apartment T5,Entire condo,entire_home,False,21.0537,105.8355,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,Ethernet connection,TV,Air conditioning,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Blender,Dining table,Lake access,Private entrance,Laundromat nearby,Patio or balcony,Free parking on premises,Free street parking,Paid parking off premises,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",False,False,7,Flexible,3:00 PM,2:00 PM,False,True,30,0.0,True,31.0,4.81,4.8,4.8,4.7,4.8,4.6,4.7,30809474.0,527915.9,0.156,0.35,71577.0,160279.8,6.6,9.5,57,202,308,32,3.44
10540525,Spacious studio near theOldQuarters,Private room in home,private_room,True,21.0332,105.8455,2.0,1.0,1.0,0.0,False,"Hair dryer,Shampoo,Conditioner,Hot water,Shower gel,Essentials,Hangers,Iron,Drying rack for clothing,Mosquito net,Clothing storage,TV,Sound system,Books and reading material,High chair,Air conditioning,Portable fans,Heating,Exterior security cameras on property,Wifi,Dedicated workspace,Kitchen,Refrigerator,Dishes and silverware,Free parking on premises,Pets allowed,Smoking allowed",False,False,3,Firm,3:00 PM,12:00 PM,True,False,0,0.0,True,299.0,4.8,4.9,4.9,4.8,4.9,4.9,4.8,49492909.0,499613.0,0.255,0.255,135597.0,135597.0,3.0,9.3,93,0,272,27,1.05
11118950,30m2 furnished studio near West Lake & Lotte,Entire rental unit,entire_home,True,21.0371,105.8283,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Conditioner,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Air conditioning,Ceiling fan,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Hot water kettle,Rice maker,Dining table,Lake access,Private entrance,Laundromat nearby,Patio or balcony,Free parking on premises,Luggage dropoff allowed,Long term stays allowed",False,False,3,Moderate,1:00 PM,12:00 PM,True,True,0,0.0,True,19.0,4.89,5.0,5.0,4.9,5.0,4.6,5.0,26854202.0,552654.1,0.132,0.142,73573.2,79686.1,3.0,9.6,48,28,317,44,2.85
11328969,Spacious 1+1 Apartment in Hoan Kiem Dist !,Entire rental unit,entire_home,True,21.0248,105.8431,2.0,1.0,1.0,1.0,False,"Free parking on premises,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,Ethernet connection,Exercise equipment,Books and reading material,Children’s books and toys,Baby bath,Window guards,Children’s bikes,Air conditioning,Portable fans,Heating,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Rice maker,Trash compactor,Dining table,Lake access,Private entrance,Laundromat nearby,Patio or balcony,Paid parking off premises,Paid parking on premises,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",False,False,1,Moderate,2:00 PM,12:00 PM,False,False,0,0.0,True,43.0,4.79,4.7,4.8,4.8,4.9,4.8,4.7,86963894.0,634354.5,0.384,0.384,238257.2,238257.2,1.0,7.8,140,0,225,53,1.19
11350161,Serviced Apartment/Old French Villa,Private room in rental unit,private_room,False,21.0229,105.8484,4.0,1.0,2.0,0.0,False,"Bidet,Hot water,Washer,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Stove,Free parking on premises,Luggage dropoff allowed,Long term stays allowed",False,False,2,Moderate,2:00 PM,12:00 PM,False,False,0,0.0,True,46.0,4.41,4.6,4.7,4.1,4.7,4.7,4.7,11215268.0,377561.5,0.085,0.085,30726.8,30726.8,2.0,31.0,31,0,334,20,0.82
12239029,"Old Quarter, lift, spacious 1 Bedroom #8",Entire serviced apartment,entire_home,True,21.0427,105.845,2.0,1.0,1.0,1.5,False,"Wifi,Hair dryer,Body soap,Bidet,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Air conditioning,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Rice maker,Dining table,Lake access,Private entrance,Laundromat nearby,Free parking on premises,Free street parking,Elevator,Paid parking on premises,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",False,False,1,Flexible,2:00 PM,11:00 AM,True,False,0,0.0,True,97.0,4.77,4.9,4.9,4.9,4.8,4.8,4.8,238903442.0,1253808.8,0.521,0.679,654530.0,853226.6,1.0,10.6,190,85,175,46,1.88
13303070,The Hanoi Family Villa 2,Private room in villa,private_room,True,21.003,105.8427,2.0,1.0,1.0,0.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,Indoor fireplace,Heating,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Private entrance,Backyard,Free parking on premises,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",False,False,1,Flexible,3:00 PM,11:00 AM,True,False,9,0.0,False,33.0,4.82,4.9,4.9,4.7,4.8,4.6,4.9,5932908.0,457123.2,0.038,0.112,14971.3,43716.2,1.0,7.0,14,240,351,28,3.03
13452528,Studio apartment T3,Entire rental unit,entire_home,False,21.054,105.8347,2.0,1.0,2.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,TV,Air conditioning,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Stove,Hot water kettle,Blender,Dining table,Lake access,Laundromat nearby,Patio or balcony,Free parking on premises,Free street parking,Paid parking off premises,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",False,False,6,Flexible,3:00 PM,12:00 PM,False,True,30,0.0,True,47.0,4.79,4.8,4.9,4.5,4.9,4.7,4.9,95785191.0,539892.9,0.501,0.704,245315.2,344384.7,6.4,16.6,183,105,182,31,3.51
13515781,LAKESIDE ✯MODERN 2 BR ✯SUPER BUDGET ✯CENTRAL HANOI,Entire serviced apartment,entire_home,False,21.0451,105.841,3.0,2.0,2.0,2.0,False,"Hair dryer,Shampoo,Hot water,Dryer,Essentials,Hangers,Bed linens,Iron,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Lake access,Free parking on premises,Hot tub,Elevator,Paid parking on premises,Luggage dropoff allowed,Long term stays allowed",False,False,1,Moderate,2:00 PM,12:00 PM,False,True,1,0.0,True,74.0,4.68,4.8,4.9,4.8,4.9,4.7,4.6,144523452.0,1191998.8,0.334,0.352,394671.4,415144.3,1.0,5.1,122,18,243,28,2.33
13607007,REAL HEART HANOI ✯ COZY & SPACIOUS 1 BR ✯ LAKESIDE,Entire serviced apartment,entire_home,True,21.0451,105.841,2.0,1.0,1.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Hot water,Elevator,Bed linens,Hot tub,Microwave,Refrigerator,Dishes and silverware,Heating,Clothing storage,Stove,Smoke alarm,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",False,False,1,Moderate,3:00 PM,11:00 AM,False,False,2,0.0,True,90.0,4.67,4.7,5.0,4.7,4.9,4.8,4.7,14702155.0,738297.9,0.055,0.055,39852.1,39852.1,1.0,3.3,20,0,345,29,2.33
13690650,MODERN & SPACIOUS ROOM ✯  BUDGET | HANOI CENTRAL,Room in hotel,private_room,False,21.0398,105.8478,2.0,1.0,2.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Coffee maker,Dining table,Lake access,Outdoor furniture,Hot tub,Elevator,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",False,False,1,Moderate,2:00 PM,12:00 PM,False,True,3,0.0,True,65.0,4.72,4.8,4.9,4.6,4.9,4.8,4.8,121234209.0,882022.2,0.356,0.358,327229.4,329032.3,1.0,2.7,130,2,235,31,1.46
13788880,25m2 furnished studio in central Ba Dinh,Entire rental unit,entire_home,True,21.0377,105.8297,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Conditioner,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Air conditioning,Ceiling fan,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Hot water kettle,Rice maker,Dining table,Lake access,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Free parking on premises,Luggage dropoff allowed,Long term stays allowed",False,False,3,Moderate,1:00 PM,12:00 PM,False,True,1,0.0,False,46.0,4.87,4.9,4.9,4.8,4.9,4.7,4.9,7181939.0,467389.2,0.041,0.051,19462.7,23918.8,3.0,3.8,15,68,350,45,2.74
13790067,LAKESIDE ✯SPACIOUS APARTMENT✯ HANOI CENTRAL,Room in serviced apartment,hotel_room,False,21.0449,105.8411,2.0,1.0,1.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Lake access,Kitchen,Smoking allowed,Pets allowed,Hot water,Elevator,Bed linens,Hot tub,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Dryer,Single level home,Smoke alarm,Carbon monoxide alarm,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",False,False,1,Moderate,3:00 PM,11:00 AM,False,False,2,0.0,True,45.0,4.73,4.9,4.9,4.9,4.8,4.8,4.7,9497852.0,685328.2,0.036,0.036,25593.8,25593.8,1.0,2.6,13,0,352,32,2.3
13790280,BUDGET ✯ COZY & MODERN STUDIO | REAL HEART HANOI,Entire serviced apartment,entire_home,False,21.0448,105.8412,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Hot water,Dryer,Essentials,Hangers,Bed linens,Iron,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Lake access,Backyard,Elevator,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",False,False,1,Moderate,2:00 PM,12:00 PM,False,True,1,0.0,True,100.0,4.68,4.8,4.9,4.6,4.8,4.8,4.7,93261100.0,688465.0,0.359,0.368,254583.1,261019.1,1.0,7.7,131,9,234,27,2.29
14045949,Katu Nest • 2 Workdesks/2Beds/Kitchen/Netflix,Entire home,entire_home,False,21.0128,105.8492,3.0,2.0,2.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Mosquito net,Clothing storage,TV,Books and reading material,Air conditioning,Ceiling fan,Portable fans,Heating,Exterior security cameras on property,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Toaster,Rice maker,Coffee,Laundromat nearby,Paid parking off premises,Long term stays allowed,Cleaning before checkout",False,False,2,Moderate,2:00 PM,11:00 AM,False,True,5,0.0,True,100.0,4.75,4.8,4.9,4.7,5.0,4.7,4.7,34972914.0,672281.7,0.145,0.197,92964.5,126141.4,2.0,6.6,53,96,312,42,1.77
14452396,50m2 studio with balcony in central Ba Dinh,Entire rental unit,entire_home,True,21.0377,105.8297,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Conditioner,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Mosquito net,Clothing storage,Ethernet connection,TV,Air conditioning,Ceiling fan,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Hot water kettle,Rice maker,Dining table,Lake access,Laundromat nearby,Patio or balcony,Free parking on premises,Elevator,Luggage dropoff allowed,Long term stays allowed",False,False,3,Moderate,1:00 PM,12:00 PM,True,True,0,0.0,True,42.0,4.9,5.0,5.0,4.8,5.0,4.9,4.9,144991847.0,728531.0,0.545,0.572,397237.9,416643.2,3.0,11.7,199,17,166,42,2.74
14464801,50m2 studio with balcony in central Ba Dinh,Entire rental unit,entire_home,True,21.0377,105.8297,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Conditioner,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Mosquito net,Clothing storage,Ethernet connection,TV,Air conditioning,Ceiling fan,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Hot water kettle,Rice maker,Dining table,Lake access,Private entrance,Laundromat nearby,Free parking on premises,Elevator,Luggage dropoff allowed,Long term stays allowed",True,False,3,Moderate,1:00 PM,12:00 PM,True,True,0,0.0,False,36.0,4.86,4.9,5.0,4.8,4.9,4.8,4.8,7390108.0,678056.4,0.03,0.034,20246.9,22809.0,3.0,11.0,11,41,354,43,2.74
15062127,Victory Legend Hotel - Junior City View,Private room in hostel,private_room,False,21.0288,105.8482,2.0,1.0,1.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Lake access,Smoking allowed,Hot water,Breakfast,Elevator,Washer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",False,False,1,Flexible,3:00 PM,11:00 AM,False,False,0,7.0,True,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28571615.0,1122917.1,0.071,0.071,78278.4,78278.4,1.0,1.9,26,0,339,22,0.61
15062279,Victory Legend Hotel -  Deluxe Twin window,Private room in hostel,private_room,False,21.0288,105.8482,2.0,4.0,2.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Lake access,Smoking allowed,Hot water,Breakfast,Elevator,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",False,False,1,Flexible,3:00 PM,11:00 AM,False,False,0,0.0,True,16.0,4.5,4.6,4.9,4.4,4.7,4.9,4.4,31069677.0,1470321.9,0.06,0.06,85122.4,85122.4,1.0,1.2,22,0,343,21,0.61
15062351,Victory Legend Hotel - Old Quarter Classic Double,Private room in hostel,private_room,False,21.0258,105.8458,2.0,1.0,1.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Lake access,Smoking allowed,Hot water,Breakfast,Elevator,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",False,False,1,Flexible,3:00 PM,11:00 AM,False,False,0,0.0,True,3.0,4.0,4.0,5.0,4.0,5.0,5.0,4.7,11657635.0,972990.5,0.033,0.033,31938.7,31938.7,1.0,1.5,12,0,353,21,0.89
15062469,Victory Legend Hotel - Family Suite city view,Private room in hostel,private_room,False,21.0288,105.8482,4.0,2.0,2.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Lake access,Smoking allowed,Hot water,Breakfast,Elevator,Washer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",False,False,1,Flexible,3:00 PM,11:00 AM,False,False,0,0.0,True,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22248386.0,1868272.7,0.036,0.037,60954.5,63385.7,1.0,2.2,13,14,352,22,0.61
15062593,Victory Legend Hotel-Old Quarter Family Balcony,Private room in hostel,private_room,False,21.0288,105.8482,4.0,2.0,2.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Lake access,Smoking allowed,Hot water,Breakfast,Elevator,Hot tub,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron",False,False,1,Flexible,3:00 PM,11:00 AM,False,False,0,0.0,True,5.0,3.6,3.8,4.2,3.6,4.2,5.0,3.2,77778274.0,1861286.1,0.112,0.138,213091.2,261879.7,1.0,2.7,41,68,324,21,0.61
15088052,"Kathy's house, near Korean embassy",Entire rental unit,entire_home,True,21.0655,105.8017,3.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Ethernet connection,TV,Children’s books and toys,Window guards,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Coffee maker,Blender,Rice maker,Waterfront,Lake access,Patio or balcony,Free parking on premises,Free street parking,Elevator,EV charger,Gym,Paid parking off premises,Single level home,Pets allowed,Luggage dropoff allowed",False,False,2,Moderate,2:00 PM,1:00 PM,False,False,12,5.0,True,45.0,4.78,4.8,5.0,4.6,5.0,4.6,4.8,41738500.0,711634.8,0.153,0.153,105797.0,105797.0,2.0,5.6,56,0,309,44,6.84
